timestamp,event
21:30:55.973,Looking SIDE
21:31:02.920,EYES CLOSED
21:31:11.942,Looking SIDE
21:31:33.954,Looking SIDE
21:32:10.370,PHONE
21:32:17.244,EYES CLOSED
